lng,lat
-60.97,13.9
9.55,47.14
80.7,7.62
-9.31,6.45
28.25,-29.58
23.9,55.34
24.12,54.22
21.51,55.75
23.88,55.08
23.17,54.7
24.8,55.92
23.31,55.94
22.45,55.3
22.16,56
25.7,55.48
25.23,54.82
6.09,49.78
24.93,56.85
27.1,56.11
25.23,56.64
21.57,56.72
25.81,56.15
24.84,57.8
21.55,56.98
27.15,57.41
25.32,57.1
26.52,57.47
22.96,56.46
24.38,57.11
23.77,56.9
24.37,56.73
27.61,56.92
27.32,57.03
24.28,56.4
25.6,57.52
22.66,56.71
25.36,57.7
24.25,57.12
26.28,57.01
25.41,57.24
27.87,56.59
27.64,56.12
26.62,55.92
23.2,56.63
22.4,57.57
21.4,56.61
23.29,57.04
25.67,56.9
24.38,57.03
21.24,56.49
26.6,57.18
24.21,56.61
24.58,56.86
26.15,56.01
24.65,57.1
25.3,56.51
25.97,57.15
22.94,56.76
23.65,56.58
25.99,56.28
22.71,56.96
27.68,56.76
25.19,57.54
25.46,56.71
27.32,55.92
24.79,57.27
26.17,56.55
21.98,56.95
24.75,56.68
24.24,56.8
24.96,56.72
24.69,57.52
25.06,57.19
26.35,56.37
26.72,56.91
27.83,56.39
26.27,56.83
25.03,57.91
24.97,56.99
23.96,56.89
23.04,57.33
25.48,57.91
25.15,56.32
21.09,56.35
25.13,56.85
23.98,56.78
23.93,56.65
25.07,57.37
21.23,56.81
25.72,56.68
26.69,56.27
21.56,56.43
25.47,57.35
25.77,57.29
27.25,56.5
26.83,56.36
22.75,57.49
24.6,56.97
21.22,56.22
27.1,56.98
23.97,56.41
25.28,57.94
25.71,56.48
24.48,57.7
24.35,56.87
22.39,56.58
24.42,57.25
24.55,57.21
24.89,57.09
25.1,56.67
21.99,56.66
26.01,57.41
24.32,56.93
25.78,57.63
22.61,57.26
23.31,56.44
23.12,56.94
21.83,56.45
25.95,57.72
26.61,56.63
26.5,56.23
25.7,57.1
24.64,56.52
21.86,57.32
25.52,56.3
27.65,57.18
26.9,56.56
28.09,56.3
26.54,55.89
23.72,56.65
25.87,56.5
23.69,56.96
21.04,56.54
27.34,56.51
24.12,56.98
21.6,57.41
25.42,57.53
18.03,27.05
-8.46,29.75
7.42,43.74
28.47,47.2
19.25,42.8
46.7,-19.38
168.9,8.64
21.71,41.61
-3.52,17.35
96.51,21.11
95.32,24.17
96.11,18.31
94.82,20.48
95.95,21.55
98.75,12.66
96.15,16.96
95.12,16.88
97.34,26.08
97.37,19.23
97.79,17.15
93.51,22.17
97.58,16.4
93.72,19.74
98.12,21.72
96.15,19.85
103.07,46.84
113.56,22.16
-61.02,14.65
-10.34,20.26
14.4,35.92
57.88,-20.13
73.23,3.83
34.26,-13.54
-102.54,23.95
-102.36,22.01
-115.1,30.55
-112.05,25.93
-90.31,18.85
-106.47,28.81
-92.47,16.49
-99.14,19.28
-102.04,27.3
-104.11,19.13
-104.91,24.92
-99.92,17.67
-101.01,20.91
-98.89,20.48
-103.61,20.58
-99.65,19.36
-101.88,19.21
-99.07,18.74
-104.85,21.8
-99.97,25.57
